project,version,lines,percent
Mycat-Server,12,49630,21.2
pybrain,23,75572,29.3
Mycat-Server,15,55445,19.7
Mycat-Server,16,58419,20.3
Mycat-Server,17,60205,20.1
jstorm,2,72104,1
jstorm,1,72104,1
jstorm,3,74146,1
jstorm,4,73435,1
jstorm,8,73464,1.7
jstorm,6,73558,1
jstorm,5,73558,1
jstorm,7,76524,1.4
Mycat-Server,18,69115,19.5
Mycat-Server,19,70914,19.7
jstorm,9,82203,1.9
Mycat-Server,20,73092,19.2
Mycat-Server,22,74973,19.9
jstorm,10,85067,1.7
Mycat-Server,21,74679,19.9
Mycat-Server,23,77179,19.5
jstorm,11,85511,1.7
jstorm,13,87853,12.6
Mycat-Server,24,78794,19.3
jstorm,17,87853,12.6
jstorm,16,87853,12.1
jstorm,18,87853,12.6
jstorm,15,87853,12.6
jstorm,14,87853,13.7
jstorm,12,85602,1.7
jstorm,20,105809,13.1
jstorm,21,105809,13.1
jstorm,19,105809,13.1
jstorm,22,119086,10.8
jstorm,23,119704,10
jstorm,24,119907,10
