"","Estimate","Std. Error","t value"
"(Intercept)",0.21998987309025,0.0273914344549121,8.03133817078348
"medianFiles",-0.00849214990546366,0.00328223003011227,-2.58731101341279
"totalCommits",-0.000166216216492407,3.64192316186405e-05,-4.56396824164
"testChangesPerCommit",7.46342502563591e-05,1.47440069677379e-05,5.06200589973064
"countCommitsWithTests",0.000560405252341573,0.000168543230328082,3.32499413504004
"version:projectaframe",-0.00950035504342154,0.007361646421297,-1.29052042161891
"version:projectAloha-Editor",-0.000649536246207988,0.00726553017466478,-0.0893997038884993
"version:projectandroidannotations",0.00424263609738503,0.00728519410607613,0.582364180776805
"version:projectansible",0.00173005581870949,0.0072897769556977,0.23732630356506
"version:projectbackbone",0.00250227093462033,0.00727085601218504,0.344150802935286
"version:projectbokeh",-0.00564227186864473,0.00736948400487995,-0.76562644886786
"version:projectbootstrap",0.121931844897231,0.0074160788818687,16.4415517741239
"version:projectboto",0.00425828797748534,0.0072684704407654,0.58585750773679
"version:projectbuildbot",0.00226001774759666,0.00726608168596048,0.311036655693462
"version:projectbundler",0.00206650436858923,0.00728772643371438,0.283559541838618
"version:projectcakephp",0.00265227457267631,0.00730866357710203,0.362894603739302
"version:projectcas",0.00363858312715629,0.00735807421193951,0.494502096928049
"version:projectcesium",0.00627487595588922,0.00731322196940697,0.858017981969997
"version:projectchef",-0.000793487272630978,0.00726646639241593,-0.109198505818336
"version:projectCodeIgniter",0.00140371604148731,0.00728609460695667,0.192656850783554
"version:projectConversations",-0.00404178620981181,0.00743303263798306,-0.543760051470531
"version:projectcore",0.00320370056304018,0.00728871271265663,0.439542713417288
"version:projectCrafty",0.0298869853100134,0.00726595814184039,4.11328894642426
"version:projectcython",-0.000606129583224514,0.0072711242761704,-0.083361191502527
"version:projectdjango-cms",0.00391906803976303,0.00727239437198714,0.538896522836972
"version:projectdropwizard",0.00581565165760824,0.00727125796798044,0.799813688802946
"version:projecterpnext",0.00888240098841323,0.00728205521545106,1.21976567405951
"version:projectetherpad-lite",-0.00203370409795503,0.00726899797050528,-0.279777777653399
"version:projectfog",0.00209761106538418,0.00726599933772474,0.288688584719996
"version:projectfoundation-sites",-0.0150559373571186,0.00729831434903407,-2.06293352643973
"version:projectgaia",0.0204456074330208,0.0075851171869625,2.69548998770425
"version:projectgenerator-jhipster",-0.0306494810507889,0.00730269224222279,-4.1970111890488
