project,version,lines,percent
robolectric,14,32618,71.9
robolectric,19,32673,74.1
robolectric,12,35313,67.5
sympy,3,84058,72.2
robolectric,21,32080,74.7
sympy,5,87311,15.1
robolectric,22,32539,74.6
robolectric,23,32733,75
robolectric,24,33022,75.5
robolectric,11,36508,62.9
sympy,7,91671,14.4
sympy,6,90785,14.5
sympy,9,95342,15.8
sympy,8,92849,15.5
sympy,11,96338,15.7
sympy,10,96306,15.7
sympy,12,97676,15.6
sympy,13,100680,16.1
sympy,14,103907,15.9
sympy,16,106230,15.6
sympy,15,105871,13.2
sympy,17,109138,15.5
sympy,18,110796,17.2
sympy,20,114764,16.7
sympy,21,115662,16.6
sympy,22,115904,16.6
sympy,23,116156,16.5
sympy,19,114149,16.8
sympy,24,116817,16.6
