transitionVersion,project,medianInsertions,medianDeletions,medianFiles,medianChanges,medianNumberOfCodeFiles,medianNumberOfCodeFilesChanges,medianMedianDepthCodeFiles,totalCommits,totalChanges,totalNumberOfCodeFilesChanges,totalNumberOfTestFilesChanges,changesPerCommit,codeChangesPerCommit,testChangesPerCommit,countCommitsWithTests,testCommitRatio,totalCommitters,countLowContributors
12,kibana,9,4,2,17.5,1,4,6,438,4102080,3385198,20033,9365.479452054795,7728.762557077625,45.73744292237443,113,0.2579908675799087,10,
13,kibana,8,4,1,14.5,1,6,6,412,21795,15278,3505,52.900485436893206,37.08252427184466,8.507281553398059,64,0.1553398058252427,15,5
14,kibana,10,3,2,16,1,6,5,461,192502,11214,177991,417.5748373101952,24.32537960954447,386.09761388286336,124,0.26898047722342733,16,6
15,kibana,6,3,1,11,1,5,6,449,47804,11072,32971,106.46770601336303,24.65924276169265,73.43207126948775,110,0.24498886414253898,16,6
16,kibana,8,3,1,15,1,4,6,407,21140,9482,9041,51.941031941031945,23.2972972972973,22.213759213759214,104,0.25552825552825553,15,4
17,kibana,6,3,1,11,1,3,6,389,17263,7487,3399,44.37789203084833,19.246786632390744,8.737789203084834,59,0.15167095115681234,22,7
18,kibana,5,2,1,9,1,4,6,226,169096,4176,163713,748.212389380531,18.47787610619469,724.3938053097345,35,0.15486725663716813,29,15
19,kibana,9,5,2,18,1,8,6,367,19447,12274,3733,52.98910081743869,33.444141689373296,10.1716621253406,80,0.21798365122615804,16,6
20,kibana,11,5,1,20,1,6,6,370,173704,14243,156276,469.47027027027025,38.494594594594595,422.36756756756756,111,0.3,19,5
21,kibana,6,3,1,11,1,3,6,326,5050969,231510,15782,15493.769938650306,710.1533742331288,48.41104294478528,77,0.2361963190184049,21,5
22,kibana,11,6,2,21,1,9,4,217,122612,38395,78236,565.0322580645161,176.93548387096774,360.53456221198155,39,0.17972350230414746,17,4
23,kibana,8,4,2,13,1,5,4,303,4545581,195473,46953,15001.917491749175,645.1254125412541,154.96039603960395,57,0.18811881188118812,17,5
24,kibana,6,3,1,12,1,4,4,355,2165528,1357654,202067,6100.078873239437,3824.3774647887326,569.2028169014085,80,0.22535211267605634,28,16
2,spinnaker,3,0,1,6,0,0,6,3,432,20,0,144,6.666666666666667,0,0,0,2,2
3,spinnaker,29,7,2,36,0,0,NaN,3,143,0,0,47.666666666666664,0,0,0,0,2,2
4,spinnaker,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,NaN,0,
5,spinnaker,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,NaN,0,
6,spinnaker,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,NaN,0,
7,spinnaker,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,NaN,0,
8,spinnaker,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,NaN,0,
9,spinnaker,10,12,3,22,0,0,NaN,1,22,0,0,22,0,0,0,0,1,
10,spinnaker,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,NaN,0,
11,spinnaker,16,3,1,26,1,15,3,31,6495,4673,276,209.51612903225808,150.74193548387098,8.903225806451612,4,0.12903225806451613,3,
12,spinnaker,5,3,1,19,1,2,3,83,40983,33487,2036,493.7710843373494,403.4578313253012,24.53012048192771,8,0.0963855421686747,7,1
13,spinnaker,5,2,1,8,0,0,2,223,13641,3727,326,61.17040358744394,16.713004484304932,1.4618834080717489,5,0.02242152466367713,20,12
14,spinnaker,1.5,1,1,3,0,0,3,22,1570,113,0,71.36363636363636,5.136363636363637,0,0,0,8,2
15,spinnaker,12.5,4.5,1,21,1,2,2,18,753,320,51,41.833333333333336,17.77777777777778,2.8333333333333335,1,0.05555555555555555,9,5
16,spinnaker,2,2,1,6,0,0,2,27,426,91,13,15.777777777777779,3.3703703703703702,0.48148148148148145,2,0.07407407407407407,14,9
17,spinnaker,5.5,2.5,1,11.5,0,0,3,30,5151,262,4,171.7,8.733333333333333,0.13333333333333333,1,0.03333333333333333,11,4
18,spinnaker,17,2,1,22,0,0,3,17,838,62,0,49.294117647058826,3.6470588235294117,0,0,0,9,3
19,spinnaker,2,1,1,4,0,0,3,11,328,120,86,29.818181818181817,10.909090909090908,7.818181818181818,2,0.18181818181818182,6,3
20,spinnaker,24,3,3,27,1,2,3,19,1831,389,18,96.36842105263158,20.473684210526315,0.9473684210526315,1,0.05263157894736842,6,2
21,spinnaker,5,1,2,9,0,0,3,15,584,81,0,38.93333333333333,5.4,0,0,0,6,1
22,spinnaker,3.5,0.5,1.5,4,0,0,4,8,2859,266,0,357.375,33.25,0,0,0,7,2
23,spinnaker,3.5,1.5,1,8.5,0,0,2,18,249,34,0,13.833333333333334,1.8888888888888888,0,0,0,6,3
24,spinnaker,9.5,4,1,15.5,0,0,2,176,17495,1487,13567,99.4034090909091,8.448863636363637,77.08522727272727,147,0.8352272727272727,15,6
2,etherpad-lite,11,5,1,20,1,2,3,25,2330,1136,0,93.2,45.44,0,0,0,7,3
3,etherpad-lite,6.5,4,1,12,1,5,3,92,4683,3018,0,50.90217391304348,32.80434782608695,0,0,0,11,6
4,etherpad-lite,8,4,1,16,1,8,3,205,27697,24685,253,135.10731707317072,120.41463414634147,1.2341463414634146,18,0.08780487804878048,15,8
5,etherpad-lite,6,4,1,11,1,6.5,4,84,6018,4784,42,71.64285714285714,56.95238095238095,0.5,3,0.03571428571428571,8,3
6,etherpad-lite,3,3,1,8,1,5,4,112,8236,3468,12,73.53571428571429,30.964285714285715,0.10714285714285714,1,0.008928571428571428,12,6
7,etherpad-lite,4,3,1,8,0,0,4,56,1536,240,0,27.428571428571427,4.285714285714286,0,0,0,6,1
8,etherpad-lite,4,2,1,9,1,3,4,29,531,362,0,18.310344827586206,12.482758620689655,0,0,0,8,2
9,etherpad-lite,4,1,1,5,1,2,4,52,1660,975,0,31.923076923076923,18.75,0,0,0,11,3
10,etherpad-lite,9,1,1,11,1,2,4,31,3865,2136,0,124.6774193548387,68.90322580645162,0,0,0,6,1
11,etherpad-lite,5,4,1,19,1,14,4,77,4607,4322,0,59.83116883116883,56.12987012987013,0,0,0,8,2
12,etherpad-lite,8,1,1,14,0,0,4,118,11496,260,10385,97.42372881355932,2.2033898305084745,88.00847457627118,56,0.4745762711864407,13,5
13,etherpad-lite,4,2,1,7,0,0,4,181,6737,2555,1013,37.22099447513812,14.116022099447514,5.596685082872928,49,0.27071823204419887,16,8
14,etherpad-lite,4,2,1,7,1,3,4,102,10121,3078,108,99.22549019607843,30.176470588235293,1.0588235294117647,3,0.029411764705882353,12,6
15,etherpad-lite,5,2,1,8.5,1,2,4,108,4104,2214,234,38,20.5,2.1666666666666665,7,0.06481481481481481,13,4
16,etherpad-lite,3,2,1,6,1,2,4,153,35340,34400,243,230.98039215686273,224.83660130718954,1.588235294117647,11,0.0718954248366013,12,4
17,etherpad-lite,4,2,1,7,1,2,4,136,11426,3132,885,84.01470588235294,23.029411764705884,6.507352941176471,21,0.15441176470588236,17,10
18,etherpad-lite,5,2,1,9,1,3,4,89,11962,1325,15,134.40449438202248,14.887640449438202,0.16853932584269662,1,0.011235955056179775,12,6
19,etherpad-lite,8,7,2,15,0,0,NaN,6,238,0,0,39.666666666666664,0,0,0,0,3,1
20,etherpad-lite,3,1,1.5,4,0.5,0.5,4,22,873,343,2,39.68181818181818,15.590909090909092,0.09090909090909091,1,0.045454545454545456,8,4
21,etherpad-lite,2,1.5,1,6.5,0,0,4,10,286,157,80,28.6,15.7,8,1,0.1,5,2
22,etherpad-lite,6,6,3,12,0,0,NaN,5,560,0,0,112,0,0,0,0,4,1
23,etherpad-lite,3.5,2,1,5.5,0,0,4,22,760,126,0,34.54545454545455,5.7272727272727275,0,0,0,11,7
24,etherpad-lite,6,2,1,10,1,6,4,37,925,439,0,25,11.864864864864865,0,0,0,8,4
2,openhab,11,2,1,14,1,4,13,159,16260,11376,527,102.26415094339623,71.54716981132076,3.3144654088050314,19,0.11949685534591195,25,10
3,openhab,12.5,3,1,19.5,1,10,12.5,252,28512,21998,2786,113.14285714285714,87.2936507936508,11.055555555555555,15,0.05952380952380952,27,11
4,openhab,9,2,1,16,1,4,13,109,12418,8555,2668,113.92660550458716,78.4862385321101,24.477064220183486,12,0.11009174311926606,27,11
5,openhab,16,3,1,22.5,1,11,12,158,19836,17341,422,125.54430379746836,109.75316455696202,2.670886075949367,3,0.0189873417721519,34,12
6,openhab,11,4,1,19,1,7,13,249,46022,39839,676,184.8273092369478,159.99598393574297,2.714859437751004,11,0.04417670682730924,44,20
7,openhab,10,4,1,19,1,10,12.5,263,43920,36135,244,166.99619771863118,137.3954372623574,0.9277566539923955,14,0.053231939163498096,43,17
8,openhab,9,2,1,19,1,4,13,173,25408,18310,309,146.86705202312137,105.83815028901734,1.7861271676300579,5,0.028901734104046242,31,10
9,openhab,9,2,1,15,1,6,12.5,211,65662,52542,3862,311.1943127962085,249.01421800947867,18.303317535545023,10,0.04739336492890995,37,15
10,openhab,10,2,1,16,1,4,13,184,39033,33439,5,212.1358695652174,181.7336956521739,0.02717391304347826,2,0.010869565217391304,30,10
11,openhab,7,2,1,14,1,3.5,12,136,27372,23303,351,201.26470588235293,171.34558823529412,2.5808823529411766,3,0.022058823529411766,43,17
12,openhab,12,2,2,20,1,10,12.5,83,29539,26255,571,355.89156626506025,316.32530120481925,6.879518072289157,6,0.07228915662650602,33,12
13,openhab,6,1,1,12,0,0,12,122,41271,32716,1219,338.28688524590166,268.1639344262295,9.991803278688524,4,0.03278688524590164,43,17
14,openhab,10,1.5,1,18.5,1,1,12,82,5563,2604,0,67.84146341463415,31.75609756097561,0,0,0,31,13
15,openhab,34,2,2,65,0,0,12.25,69,9088,3339,99,131.71014492753622,48.391304347826086,1.434782608695652,2,0.028985507246376812,26,8
16,openhab,8.5,2,1,15.5,1,2,13,76,7938,5158,0,104.44736842105263,67.86842105263158,0,0,0,22,8
17,openhab,32,1,1,35,0,0,12.25,55,7468,4849,0,135.78181818181818,88.16363636363636,0,0,0,24,11
18,openhab,11,1,1,16,0,0,13,89,13261,8773,190,149,98.57303370786516,2.134831460674157,2,0.02247191011235955,35,13
19,openhab,15,1,1,22,1,3,12,83,45844,32811,325,552.3373493975904,395.31325301204816,3.9156626506024095,3,0.03614457831325301,30,11
20,openhab,17.5,2,2,22.5,1,2,12,100,123157,95715,1946,1231.57,957.15,19.46,7,0.07,42,16
21,openhab,9,2.5,1,16,0,0,12,150,1225688,1093830,40965,8171.253333333333,7292.2,273.1,10,0.06666666666666667,47,26
22,openhab,20.5,2,2,27.5,1,10,13,76,23666,18064,2519,311.39473684210526,237.68421052631578,33.14473684210526,6,0.07894736842105263,31,14
23,openhab,14.5,6,2,24.5,1,6,12,52,16228,7857,0,312.0769230769231,151.09615384615384,0,0,0,16,6
24,openhab,11,2,2,21,0,0,13,26,29734,24211,1590,1143.6153846153845,931.1923076923077,61.15384615384615,1,0.038461538461538464,11,
2,scikit-learn,7,4,1,12,1,6,3,686,81071,21383,4012,118.17930029154519,31.17055393586006,5.848396501457726,161,0.23469387755102042,22,5
3,scikit-learn,9,4,1,14,1,4,3,432,128826,11239,2410,298.2083333333333,26.016203703703702,5.578703703703703,97,0.22453703703703703,21,6
4,scikit-learn,9,4,1,15,1,5,3,331,52582,9641,1480,158.85800604229607,29.12688821752266,4.471299093655589,75,0.22658610271903323,23,5
5,scikit-learn,9,4,1,16,1,3,3,233,30135,2995,1320,129.33476394849785,12.854077253218884,5.665236051502146,59,0.2532188841201717,18,5
6,scikit-learn,5.5,3,1,9,1,3,3,262,8711,3821,1913,33.24809160305343,14.583969465648854,7.301526717557252,85,0.3244274809160305,19,9
7,scikit-learn,7,3,1,12,1,4,3,233,50280,4000,1862,215.793991416309,17.167381974248926,7.991416309012876,67,0.2875536480686695,20,6
8,scikit-learn,8.5,3,1,14,1,3,3,142,76988,2171,1216,542.169014084507,15.288732394366198,8.56338028169014,49,0.34507042253521125,16,4
9,scikit-learn,7,3,1,13,1,2,3,207,45390,3301,1017,219.2753623188406,15.946859903381643,4.913043478260869,73,0.3526570048309179,24,6
10,scikit-learn,6,3.5,1,11,1,5,3,308,19471,6415,1578,63.217532467532465,20.82792207792208,5.123376623376624,96,0.3116883116883117,24,6
11,scikit-learn,8,3,1,12,1,4,3,255,38249,4095,1075,149.99607843137255,16.058823529411764,4.215686274509804,73,0.28627450980392155,20,3
12,scikit-learn,11.5,4,1,20,1,4,3,374,109229,7472,3636,292.0561497326203,19.97860962566845,9.72192513368984,138,0.3689839572192513,31,10
13,scikit-learn,8.5,4,1,15,1,0.5,3,380,54780,5177,7667,144.1578947368421,13.623684210526315,20.176315789473684,170,0.4473684210526316,28,8
14,scikit-learn,8,5,1,15,1,4,2,339,47055,9991,4626,138.8053097345133,29.47197640117994,13.646017699115044,156,0.46017699115044247,24,11
15,scikit-learn,8,4,1,14,1,5,3,542,128118,16836,2785,236.38007380073802,31.062730627306273,5.138376383763838,137,0.25276752767527677,31,12
16,scikit-learn,8.5,3.5,1,14.5,1,2,3,146,158108,3821,2978,1082.9315068493152,26.171232876712327,20.397260273972602,64,0.4383561643835616,22,5
17,scikit-learn,10,6,1,15,1,4,3,127,62425,2067,1203,491.53543307086613,16.275590551181104,9.472440944881889,50,0.3937007874015748,29,11
18,scikit-learn,11,6,1,18,1,3,3,147,94149,10732,1256,640.469387755102,73.00680272108843,8.54421768707483,38,0.2585034013605442,31,12
19,scikit-learn,9,3,1,14,1,3,3,93,48651,18530,1728,523.1290322580645,199.247311827957,18.580645161290324,24,0.25806451612903225,24,8
20,scikit-learn,9,5,1,16,1,9,3,171,44723,5765,979,261.53801169590645,33.71345029239766,5.7251461988304095,40,0.23391812865497075,23,6
21,scikit-learn,9,5,1,16,1,2,3,1061,492434,71448,12101,464.1225259189444,67.34024505183788,11.405278039585298,366,0.3449575871819039,43,18
22,scikit-learn,10,4,1,17,1,4,3,280,36306,7676,1660,129.6642857142857,27.414285714285715,5.928571428571429,92,0.32857142857142857,26,9
23,scikit-learn,7,3,1,13,1,2,3,183,50309,13344,2531,274.91256830601094,72.91803278688525,13.830601092896174,58,0.31693989071038253,21,9
24,scikit-learn,5,2,1,8.5,1,3,3,254,40593,3775,1439,159.81496062992127,14.862204724409448,5.665354330708661,66,0.25984251968503935,28,14
2,Ghost,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,NaN,0,
3,Ghost,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,NaN,0,
4,Ghost,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,NaN,0,
5,Ghost,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,NaN,0,
6,Ghost,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,NaN,0,
7,Ghost,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,NaN,0,
8,Ghost,16,7,2,31,1,12,4,111,36885,19049,2747,332.2972972972973,171.61261261261262,24.74774774774775,22,0.1981981981981982,7,
9,Ghost,17,9,2,33,1,11,4,99,17835,10115,3422,180.15151515151516,102.17171717171718,34.56565656565657,16,0.16161616161616163,8,
10,Ghost,22,3,2,27,1,6,4,83,15925,12668,934,191.86746987951807,152.6265060240964,11.25301204819277,16,0.1927710843373494,7,
11,Ghost,24,7,2,44,1,8.5,4,126,27290,17881,2965,216.5873015873016,141.9126984126984,23.53174603174603,38,0.30158730158730157,14,3
12,Ghost,8,3,2,14,1,5,4,280,23483,13525,3651,83.86785714285715,48.30357142857143,13.039285714285715,58,0.20714285714285716,19,8
13,Ghost,4.5,2,1,6,1,2,4,142,8335,3554,2799,58.69718309859155,25.028169014084508,19.711267605633804,27,0.19014084507042253,50,37
14,Ghost,19,5,2,23,1,7,4,107,10129,5192,3362,94.66355140186916,48.52336448598131,31.42056074766355,41,0.38317757009345793,29,15
15,Ghost,7,3,1,11,1,5,4,59,5029,3638,1257,85.23728813559322,61.66101694915254,21.305084745762713,17,0.288135593220339,20,11
16,Ghost,6,2,1,9,1,4,4,101,6697,2495,3896,66.3069306930693,24.702970297029704,38.57425742574257,27,0.26732673267326734,28,16
17,Ghost,11,6,2,18,1,6,4,73,76720,56777,3153,1050.958904109589,777.7671232876712,43.19178082191781,33,0.4520547945205479,22,8
18,Ghost,10,3,2,15.5,1,2,4,118,46650,25976,2550,395.33898305084745,220.135593220339,21.610169491525422,29,0.2457627118644068,29,15
19,Ghost,30,7,3,33,1,17,4,55,8967,3443,5110,163.03636363636363,62.6,92.9090909090909,29,0.5272727272727272,23,13
20,Ghost,37,6,2,52,1,10,4,85,27581,19687,4927,324.4823529411765,231.61176470588236,57.96470588235294,32,0.3764705882352941,22,8
21,Ghost,17,6.5,2,26.5,1,10,4,164,23344,9456,5696,142.34146341463415,57.65853658536585,34.73170731707317,28,0.17073170731707318,23,8
22,Ghost,18,8,2,31,1,5,4,199,57728,19357,12452,290.09045226130655,97.2713567839196,62.57286432160804,53,0.2663316582914573,23,9
23,Ghost,13,4,2,27,1,2,4,317,41807,7464,12213,131.8832807570978,23.545741324921135,38.526813880126184,74,0.2334384858044164,31,15
24,Ghost,12,4,2,22,1,4,4,138,20534,5490,4649,148.79710144927537,39.78260869565217,33.68840579710145,23,0.16666666666666666,22,11
2,pyramid,9,3,1,12.5,0,0,2,198,14986,5538,4167,75.68686868686869,27.96969696969697,21.045454545454547,63,0.3181818181818182,8,4
3,pyramid,9,4,1,16.5,0,0,2,268,24155,4280,12578,90.13059701492537,15.970149253731343,46.93283582089552,90,0.3358208955223881,10,5
4,pyramid,6.5,5,1,11,1,3,2,144,13413,5590,6483,93.14583333333333,38.81944444444444,45.020833333333336,88,0.6111111111111112,12,9
5,pyramid,3,1,1,4,0,0,2,73,1322,375,170,18.10958904109589,5.136986301369863,2.328767123287671,13,0.1780821917808219,14,10
6,pyramid,6,2,1,9.5,1,2,2.5,166,11345,4446,3157,68.3433734939759,26.783132530120483,19.018072289156628,48,0.2891566265060241,10,5
7,pyramid,9,2,1.5,13.5,0,0,2,70,3818,1137,882,54.542857142857144,16.242857142857144,12.6,25,0.35714285714285715,8,3
8,pyramid,3,1,1,5,0,0,3,55,895,198,239,16.272727272727273,3.6,4.345454545454546,13,0.23636363636363636,13,6
9,pyramid,4.5,3,1,8,0,0,2,138,6148,1904,2101,44.55072463768116,13.797101449275363,15.22463768115942,42,0.30434782608695654,14,10
10,pyramid,9,4,1,12,0,0,2.25,111,5418,357,522,48.810810810810814,3.2162162162162162,4.702702702702703,23,0.2072072072072072,14,8
11,pyramid,4.5,2.5,1,8.5,0,0,2,58,1557,634,429,26.844827586206897,10.931034482758621,7.396551724137931,10,0.1724137931034483,13,7
12,pyramid,3,1.5,1,5,0,0,2,14,365,153,64,26.071428571428573,10.928571428571429,4.571428571428571,3,0.21428571428571427,8,5
13,pyramid,9,1,1,11,0,0,2,29,524,119,161,18.06896551724138,4.103448275862069,5.551724137931035,6,0.20689655172413793,10,4
14,pyramid,8,3,1.5,12,0,0,3,38,9273,1785,2045,244.02631578947367,46.973684210526315,53.81578947368421,15,0.39473684210526316,10,4
15,pyramid,5,2,1,6,1,2,3,46,1325,610,345,28.804347826086957,13.26086956521739,7.5,11,0.2391304347826087,7,3
16,pyramid,6,4,1,14,0,0,2,99,4822,935,1878,48.707070707070706,9.444444444444445,18.96969696969697,38,0.3838383838383838,10,2
17,pyramid,9,2,2,11,1,4,2,55,2989,1247,1234,54.345454545454544,22.672727272727272,22.436363636363637,22,0.4,10,5
18,pyramid,8,4,1,12,0,0,3,57,2729,740,800,47.87719298245614,12.982456140350877,14.035087719298245,25,0.43859649122807015,10,6
19,pyramid,4,2,1,6,0,0,1.75,25,376,36,2,15.04,1.44,0.08,1,0.04,7,3
20,pyramid,2,2,1,4,0,0,2,81,1041,394,140,12.851851851851851,4.864197530864198,1.728395061728395,5,0.06172839506172839,12,7
21,pyramid,2,2,1,4,0,0,2,66,644,147,71,9.757575757575758,2.227272727272727,1.0757575757575757,4,0.06060606060606061,9,3
22,pyramid,3,2,1,7,0,0,2,109,1892,176,199,17.357798165137616,1.614678899082569,1.8256880733944953,11,0.10091743119266056,14,10
23,pyramid,1,1,1,2,0,0,2,25,132,24,19,5.28,0.96,0.76,4,0.16,5,2
24,pyramid,8,3,1,13,1,1.5,2,20,538,238,210,26.9,11.9,10.5,7,0.35,9,6
2,yii,2,1,1,4,1,2,4,23,3743,1273,25,162.7391304347826,55.34782608695652,1.0869565217391304,2,0.08695652173913043,3,
3,yii,2.5,2.5,1.5,6,1,5.5,3.5,16,419463,419444,0,26216.4375,26215.25,0,0,0,4,
4,yii,2,1,1,3,1,2,4,19,270,184,8,14.210526315789474,9.68421052631579,0.42105263157894735,1,0.05263157894736842,4,
5,yii,5,2.5,1.5,8.5,1,6,4,38,5679,4858,41,149.44736842105263,127.84210526315789,1.0789473684210527,7,0.18421052631578946,2,
6,yii,4,1,1,5,1,3,4,41,1863,1755,0,45.4390243902439,42.80487804878049,0,0,0,4,1
7,yii,11,4,2,16,1,16,4,38,18962,4595,0,499,120.92105263157895,0,0,0,3,
8,yii,4,2,1,6,1,4,3,69,3748,1515,6,54.31884057971015,21.956521739130434,0.08695652173913043,3,0.043478260869565216,15,4
9,yii,7,2,1,9,1,4,4,109,7753,1874,1107,71.12844036697248,17.192660550458715,10.155963302752294,19,0.1743119266055046,26,15
10,yii,4,1,1,6,1,3,3,51,11709,10987,42,229.58823529411765,215.4313725490196,0.8235294117647058,1,0.0196078431372549,15,7
11,yii,4,2,1,7,1,3,3,83,2021,1271,66,24.349397590361445,15.313253012048193,0.7951807228915663,1,0.012048192771084338,22,13
12,yii,2,1,1,3,1,2,4,111,3094,1067,580,27.873873873873872,9.612612612612613,5.225225225225225,11,0.0990990990990991,23,12
13,yii,4,2,1,6,1,2,3,156,7953,2040,1603,50.98076923076923,13.076923076923077,10.275641025641026,28,0.1794871794871795,21,7
14,yii,5,3,1,9,1,3,4,247,16740,3731,1414,67.77327935222672,15.105263157894736,5.724696356275303,30,0.1214574898785425,29,11
15,yii,7,2,1,11,1,2,3.5,168,9107,4306,1947,54.208333333333336,25.63095238095238,11.589285714285714,40,0.23809523809523808,29,14
16,yii,3,2,1,6,1,4,3,137,3334,2683,291,24.335766423357665,19.583941605839417,2.124087591240876,8,0.058394160583941604,23,6
17,yii,3,1,1,6,1,4,4,110,7472,1159,245,67.92727272727272,10.536363636363637,2.227272727272727,11,0.1,26,11
18,yii,5.5,2,1,8.5,1,2,4,154,17606,12013,1126,114.32467532467533,78.00649350649351,7.311688311688312,19,0.12337662337662338,33,18
19,yii,10,1,1,15,0,0,4,155,14691,5679,601,94.78064516129032,36.63870967741936,3.8774193548387097,14,0.09032258064516129,30,15
20,yii,2,1,1,4,1,2,4,74,2444,1448,364,33.027027027027025,19.56756756756757,4.918918918918919,4,0.05405405405405406,25,12
21,yii,3,1,1,7,1,2,3,97,13049,10099,1019,134.5257731958763,104.11340206185567,10.505154639175258,18,0.18556701030927836,24,13
22,yii,5,1,1,8.5,1,2,4,150,5868,1838,2088,39.12,12.253333333333334,13.92,42,0.28,22,12
23,yii,4,2,1,6,1,2,4,109,2857,1707,393,26.211009174311926,15.660550458715596,3.6055045871559632,11,0.10091743119266056,21,10
24,yii,4,1,1,5.5,1,2.5,4,88,3214,2201,241,36.52272727272727,25.011363636363637,2.7386363636363638,15,0.17045454545454544,19,7
2,logstash,4,1,1,7,0,0,4,159,4974,3183,1225,31.28301886792453,20.0188679245283,7.70440251572327,37,0.23270440251572327,17,12
3,logstash,4,2,1,6,1,2,4,139,4153,1925,1753,29.87769784172662,13.848920863309353,12.611510791366907,24,0.17266187050359713,17,11
4,logstash,4,2,1,7,1,4,4,188,4137,3138,665,22.00531914893617,16.69148936170213,3.5372340425531914,19,0.10106382978723404,15,6
5,logstash,3,1,1,5,1,2,4,164,5255,1917,446,32.042682926829265,11.689024390243903,2.7195121951219514,10,0.06097560975609756,23,15
6,logstash,6,1.5,1,9.5,1,5,4,104,4249,2415,485,40.85576923076923,23.221153846153847,4.663461538461538,8,0.07692307692307693,26,17
7,logstash,5,1,1,8.5,1,3.5,4,92,3459,1913,942,37.59782608695652,20.793478260869566,10.23913043478261,16,0.17391304347826086,22,14
8,logstash,3,1,1,6,1,2,4,163,4982,2710,1252,30.56441717791411,16.625766871165645,7.680981595092025,23,0.1411042944785276,24,15
9,logstash,6,2,1,10,1,2,4,158,5746,3275,2144,36.36708860759494,20.727848101265824,13.569620253164556,46,0.2911392405063291,21,12
10,logstash,4,3,1,10,1,4,4,195,33007,24529,3299,169.26666666666668,125.7897435897436,16.91794871794872,30,0.15384615384615385,23,17
11,logstash,2,1,1,3,1,2,4,33,665,581,43,20.151515151515152,17.606060606060606,1.303030303030303,4,0.12121212121212122,14,11
12,logstash,5,2,1,9,1,4,4,233,77868,6617,757,334.19742489270385,28.399141630901287,3.2489270386266096,32,0.13733905579399142,22,13
13,logstash,4,1,1,7,1,2,4,147,3595,1742,813,24.45578231292517,11.850340136054422,5.530612244897959,27,0.1836734693877551,27,13
14,logstash,5,1,1,8,1,2,4,70,1897,1058,579,27.1,15.114285714285714,8.271428571428572,11,0.15714285714285714,22,11
15,logstash,5,1,1,7,1,2,4,103,3157,2253,269,30.650485436893202,21.87378640776699,2.6116504854368934,21,0.20388349514563106,29,19
16,logstash,5,2,1,8,1,1,4,138,8207,2883,772,59.471014492753625,20.891304347826086,5.594202898550725,17,0.12318840579710146,18,10
17,logstash,7,2,1,12,1,2,4,107,2813,1693,846,26.289719626168225,15.822429906542055,7.906542056074766,20,0.18691588785046728,24,12
18,logstash,4,2,1,8,1,2,4,161,16722,10018,2616,103.86335403726709,62.22360248447205,16.248447204968944,13,0.08074534161490683,28,18
19,logstash,3.5,2,1,6,0,0,4,84,2278,764,1026,27.11904761904762,9.095238095238095,12.214285714285714,29,0.34523809523809523,12,7
20,logstash,5.5,2,1,12.5,1,1,4,64,2405,718,1047,37.578125,11.21875,16.359375,22,0.34375,13,5
21,logstash,3,2,1,7,1,1,4,27,1222,781,331,45.25925925925926,28.925925925925927,12.25925925925926,6,0.2222222222222222,6,2
22,logstash,15,1,1,15,1,2,4,5,1604,874,635,320.8,174.8,127,1,0.2,2,
23,logstash,6.5,2.5,1.5,10.5,1,5,4,22,1206,391,672,54.81818181818182,17.772727272727273,30.545454545454547,8,0.36363636363636365,12,9
24,logstash,2.5,2,1,4.5,1,2,4,16,254,119,113,15.875,7.4375,7.0625,4,0.25,11,6
2,kivy,7.5,2,1,9,1,4,3,60,2323,1027,2,38.71666666666667,17.116666666666667,0.03333333333333333,1,0.016666666666666666,2,
3,kivy,4.5,1,1,7.5,1,3,3,38,1551,1162,121,40.81578947368421,30.57894736842105,3.1842105263157894,7,0.18421052631578946,6,3
4,kivy,10,5,1,16,1,8,3,110,7017,4192,430,63.79090909090909,38.10909090909091,3.909090909090909,17,0.15454545454545454,9,5
5,kivy,12,3,1.5,17,1,7,3,82,8170,5878,203,99.63414634146342,71.6829268292683,2.475609756097561,6,0.07317073170731707,5,2
6,kivy,9,3.5,1,14.5,1,4.5,3,110,6212,3827,111,56.472727272727276,34.79090909090909,1.009090909090909,8,0.07272727272727272,7,4
7,kivy,6,1,1,8,1,2,3,45,1928,1152,67,42.84444444444444,25.6,1.488888888888889,3,0.06666666666666667,8,5
