transitionVersion,project,medianInsertions,medianDeletions,medianFiles,medianChanges,medianNumberOfCodeFiles,medianNumberOfCodeFilesChanges,medianMedianDepthCodeFiles,totalCommits,totalChanges,totalNumberOfCodeFilesChanges,totalNumberOfTestFilesChanges,changesPerCommit,codeChangesPerCommit,testChangesPerCommit,countCommitsWithTests,testCommitRatio,totalCommitters,countLowContributors
4,hapi,8,3,1,13.5,0.5,1,2,12,1067,695,232,88.91666666666667,57.916666666666664,19.333333333333332,1,0.08333333333333333,4,
5,hapi,2,1,1,4,1,2,2.5,9,938,459,476,104.22222222222223,51,52.888888888888886,2,0.2222222222222222,3,
6,hapi,28.5,8.5,2,35,2,19.5,3,70,9232,6308,2339,131.88571428571427,90.11428571428571,33.41428571428571,28,0.4,3,
7,hapi,13,6,2,30,1,4,2,153,16462,10530,2862,107.59477124183006,68.82352941176471,18.705882352941178,17,0.1111111111111111,4,1
8,hapi,28.5,8,2,46.5,1,8,2,148,16363,6934,8702,110.5608108108108,46.851351351351354,58.7972972972973,73,0.49324324324324326,4,
9,hapi,23.5,7,2,46,1,5,2,130,15053,7237,6893,115.79230769230769,55.66923076923077,53.02307692307692,65,0.5,5,1
10,hapi,24.5,9,2,43,1,5,2.5,130,22706,6620,14409,174.66153846153847,50.92307692307692,110.83846153846154,88,0.676923076923077,3,
11,hapi,13,4,2,25.5,1,4,3,100,9940,3070,3703,99.4,30.7,37.03,38,0.38,6,2
12,hapi,11,3,2,21,1,4,2,249,18574,8504,5173,74.59437751004016,34.15261044176707,20.775100401606426,102,0.40963855421686746,9,6
13,hapi,12,3,1,18,1,2,2,187,20613,7461,11791,110.22994652406418,39.898395721925134,63.05347593582888,86,0.45989304812834225,6,2
14,hapi,13,7,2,22,1,6,2,124,13777,4003,3768,111.10483870967742,32.28225806451613,30.387096774193548,67,0.5403225806451613,4,1
15,hapi,8,3,1,16,0,0,2,155,13951,3050,2209,90.00645161290322,19.677419354838708,14.251612903225807,66,0.4258064516129032,10,6
16,hapi,7,2,1,14,1,4,2,81,2530,1190,1220,31.234567901234566,14.691358024691358,15.061728395061728,32,0.3950617283950617,5,2
17,hapi,4.5,2,2,8,1,2,2,48,1242,429,661,25.875,8.9375,13.770833333333334,18,0.375,9,4
18,hapi,25,4,2,44,1,14,2,21,1015,566,295,48.333333333333336,26.952380952380953,14.047619047619047,11,0.5238095238095238,5,3
19,hapi,4.5,2,1.5,10.5,1,3,3,24,489,253,166,20.375,10.541666666666666,6.916666666666667,10,0.4166666666666667,3,
